A1,A2,A3,BV,DT,G,GM,H,H_sigma,IR,K1,K2,M1,M2,PC,UB,a,ad,albedo,class,closeness,condition_code,data_arc,diameter,diameter_sigma,dv,e,epoch,epoch_cal,epoch_mjd,equinox,est_diameter,extent,first_obs,full_name,i,id,last_obs,ma,moid,moid_ld,n,n_del_obs_used,n_dop_obs_used,n_obs_used,name,neo,om,orbit_id,pdes,per,per_y,pha,prefix,price,producer,profit,prov_des,q,rms,rot_per,saved,score,sigma_a,sigma_ad,sigma_e,sigma_i,sigma_ma,sigma_n,sigma_om,sigma_per,sigma_q,sigma_tp,sigma_w,spec,spec_B,spec_T,spkid,t_jup,tp,tp_cal,two_body,w
,,,0.837,,,0.376208911,6.55,,,,,,,,0.417,2.45250075,2.697813172,0.1803,MBA,2647.528345,0,59785,153.33,3.1,,0.100025422,2457000.5,20141209,57000,J2000,,,1850-09-17,11 Parthenope,4.629854558,a0000011,5/25/14,227.8370404,1.19556,465.2760852,0.256619911,,,4914,Parthenope,N,125.5671225,JPL 80,11,1402.852951,3.840802056,N,,5.64E-45,Otto Matic,3.64E-46,,2.207188327,0.46371,13.7204,-41324911111,1.13E-56,2.52E-09,2.77E-09,2.58E-08,3.28E-06,1.13E-05,3.95E-10,2.44E-05,2.16E-06,6.34E-08,4.40E-05,2.70E-05,Sk,Sk,S,2000011,3.483,2457515.514,20160507.01,,196.0176241
,,,0.874,,0.22,0.18377442,7.24,,,,,,,,0.515,2.333482269,2.849862034,0.1765,MBA,2651.953873,0,59935,112.77,3.1,,0.221291489,2457000.5,20141209,57000,J2000,,,1850-09-18,12 Victoria,8.36883536,a0000012,10/23/14,51.14794551,0.823481,320.4741008,0.276501388,,,2368,Victoria,N,235.4863008,JPL 94,12,1301.982613,3.564634123,N,,9639000000,Otto Matic,623306908.8,,1.817102504,0.56645,8.6599,-15945660000,132.6169717,2.21E-09,2.70E-09,2.40E-08,2.53E-06,6.39E-06,3.93E-10,1.95E-05,1.85E-06,5.63E-08,2.30E-05,2.03E-05,L,L,S,2000012,3.522,2456815.517,20140607.02,,69.53490891
,,,0.745,,,0.794003588,6.74,,,,,,,,0.452,2.577044532,2.79297602,0.0825,MBA,2644.397816,0,59815,207.64,8.3,,0.08379036,2457000.5,20141209,57000,J2000,,,1850-11-21,13 Egeria,16.5374771,a0000013,8/28/14,166.7206429,1.43989,560.3619913,0.23824357,,,1904,Egeria,N,43.25137475,JPL 69,13,1511.058617,4.137053024,N,,1.02583E+11,Otto Matic,6614646807,,2.361113044,0.63662,7.045,-85597465725,132.2398908,3.67E-09,3.98E-09,2.80E-08,3.62E-06,1.96E-05,5.09E-10,1.18E-05,3.23E-06,7.21E-08,8.23E-05,2.31E-05,Ch,Ch,G,2000013,3.364,2456300.709,20130108.21,,80.14846918
,,,0.833,,,0.256338529,6.3,,,,,,,,0.388,2.586682878,3.016287353,0.159,MBA,2644.9356,0,59641,152,,,0.166083164,2457000.5,20141209,57000,J2000,,,1851-05-20,14 Irene,9.118068812,a0000014,9/3/14,145.5578772,1.18251,460.1974167,0.236913218,,,2255,Irene,N,86.16005476,JPL 62,14,1519.543753,4.16028406,N,,3.84E-45,Otto Matic,2.48E-46,,2.157078402,0.57528,15.028,-28157671429,7.68E-57,3.31E-09,3.85E-09,2.62E-08,3.52E-06,9.67E-06,4.54E-10,1.95E-05,2.91E-06,6.82E-08,4.09E-05,2.18E-05,S,S,S,2000014,3.385,2456386.107,20130403.61,,98.00125072
,,,0.839,,0.23,1.973668077,5.28,,,,,,,,0.451,2.643914763,3.139541481,0.2094,MBA,2643.914899,0,59109,255.33,15,,0.187459416,2457000.5,20141209,57000,J2000,,,1851-09-02,15 Eunomia,11.73888056,a0000015,7/3/13,277.5295199,1.19136,463.6415712,0.229262434,,,2075,Eunomia,N,293.1871147,JPL 70,15,1570.252891,4.299118113,N,,2.96E-44,Davide Farnocchia,1.91E-45,,2.148288045,0.64363,6.083,-2.16799E+11,5.92E-56,3.24E-09,3.84E-09,2.82E-08,2.59E-06,7.00E-06,4.21E-10,1.49E-05,2.88E-06,7.45E-08,3.09E-05,1.63E-05,S,S,S,2000015,3.339,2457360.221,20151203.72,,97.55418278
,,,0.729,,0.2,1.842637733,5.9,,,,,,,,0.299,2.922785182,3.32131519,0.1203,MBA,2637.479335,0,58859,253.16,4,,0.136352822,2457000.5,20141209,57000,J2000,,,1852-03-17,16 Psyche,3.098940341,a0000016,5/11/13,334.6557091,1.52698,594.2548066,0.197246238,,,2493,Psyche,N,150.2744676,JPL 83,16,1825.129868,4.996933245,N,,27673419947,Davide Farnocchia,1779737264,,2.524255175,0.6037,4.196,3.95975E+11,131.8939668,5.72E-09,6.50E-09,3.31E-08,4.47E-06,1.71E-05,5.79E-10,7.37E-05,5.35E-06,9.68E-08,8.69E-05,7.53E-05,X,X,M,2000016,3.263,2457128.991,20150416.49,,227.1228564
,,,0.829,,,0.08708265,7.76,,,,,,,,0.438,2.471953102,2.799467476,0.1715,MBA,2647.315095,0,59359,90.04,3.7,,0.132492147,2457000.5,20141209,57000,J2000,,,1852-04-23,17 Thetis,5.590860759,a0000017,10/30/14,257.7499767,1.13453,441.5250401,0.253596779,,,2636,Thetis,N,125.5689894,JPL 84,17,1419.57639,3.886588336,N,,1.31E-45,Otto Matic,8.42E-47,,2.144438729,0.61762,12.27048,-9565650000,2.61E-57,3.42E-09,3.87E-09,2.34E-08,2.66E-06,7.99E-06,5.26E-10,2.44E-05,2.95E-06,5.76E-08,3.18E-05,2.55E-05,Sl,Sl,S,2000017,3.465,2457403.699,20160116.2,,135.8048308
,,,0.854,,0.25,0.234412957,6.51,,,,,,,,0.425,2.295006084,2.79744173,0.2225,MBA,2652.939411,0,57611,140.57,2.8,,0.218925627,2457000.5,20141209,57000,J2000,,,1856-09-26,18 Melpomene,10.13374367,a0000018,6/21/14,173.7805263,0.809934,315.2020148,0.283483843,,,4568,Melpomene,N,150.4716724,JPL 83,18,1269.913642,3.476834065,N,,3.51E-45,Otto Matic,2.27E-46,,1.792570438,0.41876,11.57,-25749242857,7.03E-57,2.13E-09,2.59E-09,2.69E-08,3.56E-06,7.58E-06,3.94E-10,1.82E-05,1.77E-06,6.15E-08,2.64E-05,1.95E-05,S,S,S,2000018,3.543,2456387.483,20130404.98,,227.9316578
,,,0.719,,0.1,0.571950244,7.13,,,,,,,,0.324,2.441588229,2.829314934,0.037,MBA,2648.346587,0,59069,200,,,0.158801022,2457000.5,20141209,57000,J2000,,,1852-09-14,19 Fortuna,1.57357075,a0000019,6/6/14,143.7874238,1.0598,412.442366,0.258342251,,,2339,Fortuna,N,211.1574597,JPL 103,19,1393.500281,3.815195841,N,,73894422710,Otto Matic,4771890566,,2.053861523,0.5541,7.4432,-61659030533,132.4373294,3.25E-09,3.77E-09,2.33E-08,2.69E-06,1.00E-05,5.16E-10,0.00010601,2.78E-06,5.73E-08,3.84E-05,0.0001063,Ch,Ch,G,2000019,3.483,2456443.923,20130531.42,,182.2755511
,,,0.854,,0.25,0.356922088,6.5,,,,,,,,0.463,2.408813737,2.75301047,0.2096,MBA,2649.00611,0,58543,145.5,9.3,,0.142890555,2457000.5,20141209,57000,J2000,,,1853-12-26,20 Massalia,0.708275469,a0000020,4/9/14,56.00255091,1.08148,420.8795716,0.26363268,,,2039,Massalia,N,206.1367535,JPL 84,20,1365.53632,3.738634688,N,,5.35E-45,Otto Matic,3.45E-46,,2.064617005,0.5876,8.098,-39206337500,1.07E-56,3.31E-09,3.79E-09,2.03E-08,2.39E-06,8.19E-06,5.44E-10,0.00018116,2.82E-06,4.91E-08,3.09E-05,0.00018127,S,S,S,2000020,3.507,2456788.074,20140510.57,,256.6391079
,,,0.686,,0.11,0.113441,7.35,,,,,,,,0.189,2.4345185,2.835227851,0.2212,MBA,2648.590977,0,54208,95.76,4.1,,0.164594909,2457000.5,20141209,57000,J2000,,,1866-04-06,21 Lutetia,3.063802678,a0000021,9/5/14,289.0152012,1.02613,399.3390121,0.259468389,,,3862,Lutetia,N,80.88541516,JPL 86,21,1387.45225,3.798637234,N,,1703699200,Otto Matic,110030176.4,,2.033809149,0.39704,8.1655,24378000000,132.4329563,3.84E-09,4.47E-09,2.59E-08,3.65E-06,1.26E-05,6.14E-10,5.96E-05,3.28E-06,6.36E-08,4.89E-05,6.04E-05,Xk,Xk,M,2000021,3.485,2457274.078,20150908.58,,250.1630426
,,,0.715,,0.21,0.524942667,6.45,,,,,,,,0.234,2.910724505,3.20097586,0.1419,MBA,2637.377878,0,58449,181,4.6,,0.099717907,2457000.5,20141209,57000,J2000,,,1854-04-14,22 Kalliope,13.71541054,a0000022,4/24/14,240.345552,1.63341,635.6741697,0.198473451,,,2227,Kalliope,N,66.08188747,JPL 74,22,1813.844615,4.966035908,N,,7883784533,Otto Matic,507003666.4,,2.620473149,0.53038,4.148,1.12808E+11,131.8846615,6.64E-09,7.30E-09,3.43E-08,3.83E-06,1.48E-05,6.79E-10,1.14E-05,6.21E-06,9.86E-08,7.54E-05,1.76E-05,X,X,M,2000022,3.234,2457603.374,20160802.87,,354.8822254
,,,0.859,,,0.1381311,6.95,,,,,,,,0.442,2.624823042,3.242898737,0.2536,MBA,2645.104845,0,57705,107.53,2.2,,0.235473282,2457000.5,20141209,57000,J2000,,,1856-10-19,23 Thalia,10.11493545,a0000023,10/16/14,324.8457046,1.04425,406.3907725,0.231768297,,,1627,Thalia,N,66.88310838,JPL 73,23,1553.275426,4.252636349,N,,2.07E-45,Otto Matic,1.34E-46,,2.006747346,0.54131,12.312,-15173100000,4.14E-57,4.49E-09,5.55E-09,2.80E-08,3.50E-06,6.34E-06,5.95E-10,2.01E-05,3.99E-06,7.45E-08,2.74E-05,2.13E-05,S,S,S,2000023,3.341,2457152.179,20150509.68,,60.82518371
,,,0.684,,0.19,0.41005585,7.08,,,,,,,,0.336,3.134947262,3.529351653,0.067,MBA,2633.517599,0,58885,198,,,0.12580894,2457000.5,20141209,57000,J2000,,,1853-04-27,24 Themis,0.75227218,a0000024,7/17/14,71.67401796,1.75377,682.5146709,0.177565552,,,2269,Themis,N,35.92250664,JPL 91,24,2027.420277,5.550774202,N,,52830729020,Otto Matic,3392554421,,2.740542871,0.6544,8.374,-31203449700,131.6958799,7.78E-09,8.76E-09,2.57E-08,2.93E-06,1.18E-05,6.61E-10,0.00022631,7.55E-06,8.11E-08,6.56E-05,0.00022663,B,B,C,2000024,3.2,2456596.852,20131031.35,,106.6713047
,,,0.932,,,0.03997127,7.83,,,,,,,,0.513,2.399410465,3.01259643,0.231,MBA,2650.825901,0,56476,75.13,3.6,,0.255556927,2457000.5,20141209,57000,J2000,,,1860-03-11,25 Phocaea,21.59115235,a0000025,10/26/14,109.0181168,0.922019,358.8221342,0.265183959,,,2292,Phocaea,N,214.2244031,JPL 76,25,1357.548174,3.716764337,N,,5.99E-40,Otto Matic,3.87E-41,,1.7862245,0.49074,9.9341,-4.39067E+15,1.20E-51,2.92E-09,3.67E-09,2.47E-08,3.11E-06,5.76E-06,4.85E-10,8.11E-06,2.48E-06,5.93E-08,2.13E-05,1.00E-05,S,S,S,2000025,3.389,2456589.396,20131023.9,,90.05146588
,,,0.891,,,0.04991404,7.4,,,,,,,,0.525,2.655032305,2.894840174,0.1966,MBA,2642.651441,0,56159,94.8,1.7,,0.090322016,2457000.5,20141209,57000,J2000,,,1861-01-31,26 Proserpina,3.563520782,a0000026,11/4/14,100.3218853,1.40461,546.6320737,0.227823941,,,1422,Proserpina,N,45.78834805,JPL 96,26,1580.167559,4.326262995,N,,7.48E-40,Otto Matic,4.82E-41,,2.415224435,0.64282,13.11,-5.48284E+15,1.50E-51,7.70E-09,8.39E-09,2.88E-08,3.32E-06,2.25E-05,9.90E-10,7.00E-05,6.87E-06,7.71E-08,9.85E-05,7.38E-05,S,S,S,2000026,3.38,2456560.152,20130924.65,,194.2689147
