A1,A2,A3,BV,DT,G,GM,H,H_sigma,IR,K1,K2,M1,M2,PC,UB,a,ad,albedo,class,closeness,condition_code,data_arc,diameter,diameter_sigma,dv,e,epoch,epoch_cal,epoch_mjd,equinox,est_diameter,extent,first_obs,full_name,i,id,last_obs,ma,moid,moid_ld,n,n_del_obs_used,n_dop_obs_used,n_obs_used,name,neo,om,orbit_id,pdes,per,per_y,pha,prefix,price,producer,profit,prov_des,q,rms,rot_per,saved,score,sigma_a,sigma_ad,sigma_e,sigma_i,sigma_ma,sigma_n,sigma_om,sigma_per,sigma_q,sigma_tp,sigma_w,spec,spec_B,spec_T,spkid,t_jup,tp,tp_cal,two_body,w
,,,0.859,,,,9.27,,,,,,,,0.394,2.869680837,3.020509144,0.2766,MBA,2637.907438,0,44142,35.37,1.4,,0.052559262,2457000.5,20141209,57000,J2000,,,1893-08-12,158 Koronis,1.001465171,a0000158,6/21/14,253.8080871,1.73092,673.6221364,0.202746646,,,1444,Koronis,N,277.996413,JPL 8,158,1775.615074,4.861369127,N,,7.85E-39,Otto Matic,5.05E-40,,2.718852529,0.59025,14.218,-5.75E+16,1.57E-50,1.33E-08,1.40E-08,4.16E-08,4.60E-06,4.46E-05,1.41E-09,0.00028186,1.23E-05,1.19E-07,0.00022074,0.00028576,S,S,S,2000158,3.296,2457524.267,20160515.77,,142.224606
,,,0.7,,,,8.12,,,,,,,,0.38,3.101691781,3.437531883,0.0639,MBA,2633.932747,0,40342,124.97,2.4,,0.108276426,2457000.5,20141209,57000,J2000,,,1/11/04,159 Aemilia,6.131119948,a0000159,6/24/14,105.9355752,1.78418,694.3493306,0.180428906,,,1529,Aemilia,N,134.1328892,JPL 74,159,1995.24571,5.462685038,N,,1.52E+18,Otto Matic,9.76E+16,,2.765851679,0.57224,24.476,-1.27E+18,131.7166374,1.49E-08,1.65E-08,3.63E-08,3.57E-06,1.78E-05,1.30E-09,4.20E-05,1.44E-05,1.14E-07,9.75E-05,4.54E-05,Ch,Ch,C,2000159,3.204,2456413.368,20130430.87,,333.2777785
,,,0.718,,,,9.08,,,,,,,,0.363,2.727195751,2.903774914,0.0625,MBA,2640.914043,0,42631,81.24,2.1,,0.064747521,2457000.5,20141209,57000,J2000,,,1897-12-27,160 Una,3.824318495,a0000160,9/16/14,13.61412524,1.56479,608.9693243,0.218841462,,,1443,Una,N,8.632157289,JPL 11,160,1645.026484,4.503837053,N,,4.18E+17,Otto Matic,2.69E+16,,2.550616588,0.6135,11.033,-3.48E+17,132.0657022,1.07E-08,1.14E-08,3.90E-08,4.99E-06,3.87E-05,1.29E-09,6.82E-05,9.67E-06,1.07E-07,0.00017663,7.84E-05,C,C,CX,2000160,3.35,2456938.29,20141007.79,,52.56538717
,,,0.719,,0.13,,9.15,,,,,,,,0.208,2.380839112,2.706347419,0.198,MBA,2649.66674,0,42019,44.19,3.3,,0.136719993,2457000.5,20141209,57000,J2000,,,1899-10-09,161 Athor,9.05432743,a0000161,10/25/14,188.0282883,1.06245,413.4736665,0.26829279,,,1308,Athor,N,18.63762562,JPL 62,161,1341.817648,3.673696504,N,,1.24E+16,Otto Matic,8.04372E+14,,2.055330805,0.58482,7.28,1.62E+17,132.503337,7.87E-09,8.94E-09,2.99E-08,5.11E-06,2.07E-05,1.33E-09,2.37E-05,6.65E-06,7.22E-08,7.79E-05,3.10E-05,Xc,Xc,M,2000161,3.509,2457641.485,20160909.99,,294.6842222
,,,0.747,,,,8.83,,,,,,,,0.374,3.019194546,3.558773799,0.0529,MBA,2636.190796,0,41077,99.1,2.6,,0.178716292,2457000.5,20141209,57000,J2000,,,1902-04-07,162 Laurentia,6.096192544,a0000162,9/23/14,187.4432149,1.49814,583.0311438,0.187874322,,,1325,Laurentia,N,35.54571281,JPL 20,162,1916.174579,5.246200079,N,,7.58E+17,Otto Matic,4.87E+16,,2.479615293,0.52338,11.8686,-6.32E+17,131.8295398,1.39E-08,1.64E-08,3.55E-08,4.63E-06,1.27E-05,1.30E-09,4.17E-05,1.33E-05,1.09E-07,6.98E-05,4.34E-05,Ch,Ch,STU,2000162,3.214,2457918.969,20170614.47,,116.1037308
,,,0.717,,-0.04,0.1341273,9.47,,,,,,,,0.341,2.366780589,2.818893176,0.0546,MBA,2650.653254,0,44473,72.63,5.7,,0.191024292,2457000.5,20141209,57000,J2000,,,1892-09-13,163 Erigone,4.81461359,a0000163,6/19/14,117.6997237,0.936807,364.5771802,0.270686799,,,1687,Erigone,N,160.1723028,JPL 96,163,1329.950341,3.641205587,N,,17328883936,Otto Matic,1120024458,,1.914668002,0.54003,16.136,-14459578200,132.5526627,5.65E-09,6.73E-09,3.24E-08,4.16E-06,9.19E-06,9.69E-10,3.37E-05,4.76E-06,7.61E-08,3.38E-05,3.49E-05,Ch,Ch,C,2000163,3.518,2456565.681,20130930.18,,298.2321444
,,,0.684,,,0.06199217,8.89,,,,,,,,0.326,2.634929399,3.543083278,0.0447,MBA,2647.256577,0,42904,104.87,1.9,,0.344659663,2457000.5,20141209,57000,J2000,,,1897-05-07,164 Eva,24.46082101,a0000164,10/25/14,81.4592631,0.887528,345.3992718,0.230436144,,,1101,Eva,N,77.08894368,JPL 54,164,1562.254921,4.277220866,N,,9.31022E+14,Otto Matic,6.0098E+13,,1.726775519,0.52977,13.66,1.33E+16,132.3828288,1.23E-08,1.65E-08,4.16E-08,5.20E-06,7.90E-06,1.61E-09,1.22E-05,1.09E-05,1.12E-07,3.35E-05,1.35E-05,X,X,CX,2000164,3.191,2456647,20131220.5,,283.6526486
,,,0.722,,,1.3052388,7.65,,,,,,,,0.291,3.126354527,3.391150775,0.0642,MBA,2633.330223,0,50450,154.78,4.8,,0.084698087,2457000.5,20141209,57000,J2000,,,1876-08-10,165 Loreley,11.22478182,a0000165,9/26/14,18.59826693,1.84774,719.0849758,0.178298109,,,1362,Loreley,N,302.5411491,JPL 21,165,2019.090404,5.527968252,N,,1.68399E+11,Otto Matic,10813037556,,2.861558279,0.65345,7.226,-1.41533E+11,131.6865112,1.16E-08,1.26E-08,4.07E-08,4.99E-06,2.18E-05,9.93E-10,1.86E-05,1.13E-05,1.29E-07,0.00012204,2.89E-05,Cb,Cb,CD,2000165,3.18,2456896.19,20140826.69,,347.5822348
,,,0.725,,,,9.89,,,,,,,,0.425,2.686942217,3.253217981,,MBA,2643.314275,0,46961,,,,0.210751002,2457000.5,20141209,57000,J2000,36.09768505,,1885-09-10,166 Rhodope,12.02975406,a0000166,4/8/14,100.3752116,1.1662,453.850054,0.223777585,,,1298,Rhodope,N,128.934297,JPL 10,166,1608.740211,4.404490654,N,,6.1705E+15,Otto Matic,3.97716E+14,,2.120666453,0.57229,4.715,8.83E+16,132.1857137,1.21E-08,1.46E-08,4.26E-08,4.78E-06,1.03E-05,1.51E-09,2.49E-05,1.09E-05,1.14E-07,4.59E-05,2.68E-05,Xe,Xe,GC,2000166,3.311,2456551.951,20130916.45,,264.7254878
,,,0.837,,,,9.1,,,,,,,,0.4,2.852593191,2.955907876,0.223,MBA,2638.193191,0,47562,39.94,1.9,,0.036217812,2457000.5,20141209,57000,J2000,,,1884-04-01,167 Urda,2.212276419,a0000167,6/21/14,274.593098,1.73537,675.3539429,0.204571115,,,1720,Urda,N,166.2262538,JPL 12,167,1759.779235,4.818012962,N,,1.13E-38,Otto Matic,7.27E-40,,2.749278506,0.56389,13.07,-8.28E+16,2.26E-50,1.40E-08,1.45E-08,4.12E-08,4.63E-06,5.93E-05,1.50E-09,0.00011475,1.29E-05,1.20E-07,0.00029057,0.00012888,Sk,Sk,S,2000167,3.303,2457417.992,20160130.49,,133.3418922
,,,0.745,,,0.280266,7.94,,,,,,,,0.384,3.377057097,3.609989311,0.0535,OMB,2629.227992,0,49133,148.39,4,,0.068974911,2457000.5,20141209,57000,J2000,,,1880-04-13,168 Sibylla,4.63437108,a0000168,10/21/14,79.78443416,2.14562,835.0109354,0.15881681,,,1460,Sibylla,N,206.3788992,JPL 14,168,2266.762566,6.206057676,N,,36209608224,Otto Matic,2321432540,,3.144124883,0.60692,47.009,-30214044000,131.4813996,1.77E-08,1.90E-08,4.59E-08,5.37E-06,3.30E-05,1.25E-09,5.75E-05,1.79E-05,1.61E-07,0.0002077,6.65E-05,Ch,Ch,C,2000168,3.143,2456498.132,20130724.63,,170.4933822
,,,0.848,,,,9.56,,,,,,,,0.458,2.357742691,2.666505424,0.2347,MBA,2650.217234,0,47411,33.6,2.6,,0.130956925,2457000.5,20141209,57000,J2000,,,1885-01-09,169 Zelia,5.50029472,a0000169,10/31/14,86.96863133,1.0404,404.892468,0.272244718,,,1331,Zelia,N,354.7832206,JPL 8,169,1322.339703,3.620368796,N,,6.73E-39,Otto Matic,4.35E-40,,2.048979957,0.57939,14.537,-4.93E+16,1.35E-50,7.80E-09,8.83E-09,3.58E-08,4.86E-06,1.95E-05,1.35E-09,4.76E-05,6.57E-06,8.42E-08,7.11E-05,5.12E-05,Sl,Sl,S,2000169,3.535,2456681.05,20140123.55,,334.3781435
,,,0.886,,,,9.39,,,,,,,,0.447,2.553134118,2.713054368,0.1579,MBA,2644.848076,0,42084,44.3,1,,0.062636839,2457000.5,20141209,57000,J2000,,,1899-08-02,170 Maria,14.38578069,a0000170,10/22/14,303.2049603,1.41376,550.1929792,0.241598164,,,1066,Maria,N,301.3648787,JPL 15,170,1490.077547,4.079609985,N,,1.54E-38,Otto Matic,9.94E-40,,2.393213868,0.54315,13.12,-1.13E+17,3.08E-50,1.10E-08,1.16E-08,4.16E-08,5.02E-06,4.09E-05,1.55E-09,2.19E-05,9.59E-06,1.06E-07,0.00016919,4.70E-05,S,S,S,2000170,3.392,2457235.581,20150801.08,,159.1532697
,,,0.695,,,,8.31,,,,,,,,0.341,3.129404977,3.541084464,0.0615,MBA,2633.669837,0,44079,116.69,3.6,,0.131552001,2457000.5,20141209,57000,J2000,,,1894-02-23,171 Ophelia,2.546799578,a0000171,10/31/14,264.1775916,1.72892,672.8437964,0.178037473,,,1427,Ophelia,N,100.539519,JPL 81,171,2022.046228,5.536060857,N,,1.24E+18,Otto Matic,7.95E+16,,2.717725489,0.58947,6.66535,-1.03E+18,131.7034919,1.39E-08,1.58E-08,3.85E-08,3.91E-06,1.69E-05,1.19E-09,0.00010667,1.35E-05,1.21E-07,9.56E-05,0.00010773,C,C,C,2000171,3.199,2457538.715,20160530.21,,57.04547751
,,,0.89,,,,8.79,,,,,,,,0.499,2.379620676,2.653374456,0.1382,MBA,2649.507274,0,40256,62.43,1.2,,0.115040931,2457000.5,20141209,57000,J2000,,,8/17/04,172 Baucis,10.02873613,a0000172,11/4/14,14.35193843,1.09581,426.4563777,0.268498877,,,1118,Baucis,N,331.980399,JPL 48,172,1340.787732,3.670876748,N,,1.11E+17,Otto Matic,7.20204E+15,,2.105866897,0.5746,27.417,-1.84E+17,132.4953637,6.58E-09,7.34E-09,4.45E-08,5.52E-06,1.96E-05,1.11E-09,2.60E-05,5.56E-06,1.06E-07,7.29E-05,3.24E-05,L,L,S,2000172,3.51,2456947.047,20141016.55,,359.2092586
,,,0.705,,0.01,0.401547775,7.66,,,,,,,,0.305,2.743906326,3.309189087,0.0642,MBA,2642.0153,0,49577,154.1,3.5,,0.20601387,2457000.5,20141209,57000,J2000,,,1879-01-20,173 Ino,14.21175718,a0000173,10/16/14,48.15585021,1.20403,468.5723551,0.216845369,,,1299,Ino,N,148.2717102,JPL 66,173,1660.169184,4.545295508,N,,6030594080,Otto Matic,388507511.4,,2.178623565,0.54268,6.163,86290950000,132.1128262,8.29E-09,9.99E-09,3.02E-08,4.79E-06,1.31E-05,9.82E-10,1.19E-05,7.52E-06,8.28E-08,5.98E-05,1.67E-05,Xk,Xk,C,2000173,3.274,2456778.425,20140430.93,,228.0239794
,,,0.858,,,,8.48,,,,,,,,0.484,2.860708232,3.27047638,0.1495,MBA,2638.770868,0,50090,69.24,4.4,,0.143240105,2457000.5,20141209,57000,J2000,,,1877-09-03,174 Phaedra,12.13073409,a0000174,10/25/14,208.6435576,1.46977,571.9903909,0.203701265,,,1288,Phaedra,N,327.7108388,JPL 25,174,1767.293888,4.838586962,N,,5.89E-38,Otto Matic,3.79E-39,,2.450940084,0.60395,5.744,-4.32E+17,1.18E-49,1.21E-08,1.39E-08,4.07E-08,4.76E-06,1.61E-05,1.30E-09,2.25E-05,1.12E-05,1.16E-07,8.14E-05,2.70E-05,S,S,S,2000174,3.254,2457743.531,20161221.03,,289.1316899
,,,0.706,,,,8.31,,,,,,,,0.332,3.184721886,3.925582024,0.0819,MBA,2634.171774,0,50006,101.17,7,,0.232629461,2457000.5,20141209,57000,J2000,,,1877-10-06,175 Andromache,3.218506137,a0000175,9/4/14,291.5974287,1.43736,559.3773912,0.173419051,,,1865,Andromache,N,21.36101066,JPL 23,175,2075.896495,5.683494852,N,,8.06E+17,Otto Matic,5.18E+16,,2.443861749,0.55205,8.324,-6.73E+17,131.7285887,1.07E-08,1.32E-08,3.87E-08,5.23E-06,1.06E-05,8.75E-10,8.15E-05,1.05E-05,1.27E-07,6.21E-05,8.21E-05,Cg,Cg,C,2000175,3.153,2457394.935,20160107.44,,320.5061495
,,,,,,,8.2,,,,,,,,,3.187959282,3.717462399,0.0834,MBA,2633.079968,0,50050,121.04,2.2,,0.166094693,2457000.5,20141209,57000,J2000,,,1877-10-15,176 Iduna,22.585113,a0000176,10/27/14,61.93234677,1.66364,647.4387788,0.173154956,,,1384,Iduna,N,200.6586446,JPL 22,176,2079.062645,5.6921633,N,,1.38E+18,Otto Matic,8.87E+16,,2.658456164,0.60376,11.2877,-1.15E+18,131.6739984,1.37E-08,1.60E-08,3.41E-08,3.88E-06,1.23E-05,1.12E-09,1.15E-05,1.34E-05,1.09E-07,7.08E-05,1.73E-05,Ch,Ch,G,2000176,3.058,2456642.83,20131216.33,,187.6098822
,,,0.73,,,,9.49,,,,,,,,0.35,2.769059661,3.427487709,0.0527,MBA,2642.028331,0,41579,73.22,1.6,,0.237780377,2457000.5,20141209,57000,J2000,,,1900-10-23,177 Irma,1.389459238,a0000177,8/25/14,273.7236226,1.11482,433.8544994,0.213897449,,,1481,Irma,N,347.5518811,JPL 57,177,1683.049527,4.607938473,N,,3.06E+17,Otto Matic,1.97E+16,,2.110631612,0.5819,13.856,-2.55E+17,132.1214165,9.47E-09,1.17E-08,3.52E-08,4.66E-06,9.77E-06,1.10E-09,0.00018785,8.64E-06,9.68E-08,4.66E-05,0.00018811,Ch,Ch,C,2000177,3.296,2457403.854,20160116.35,,38.22507753
,,,0.904,,,,9.3,,,,,,,,0.486,2.460068029,2.564893397,0.2438,MBA,2647.044407,0,46943,35.81,0.9,,0.04261076,2457000.5,20141209,57000,J2000,,,1885-12-11,178 Belisana,1.895222906,a0000178,6/21/14,326.2368073,1.34128,521.9859376,0.255436761,,,1616,Belisana,N,51.11424246,JPL 14,178,1409.350787,3.858592162,N,,8.14E-39,Otto Matic,5.26E-40,,2.355242662,0.54961,12.323,-5.97E+16,1.63E-50,8.25E-09,8.60E-09,4.07E-08,4.74E-06,4.96E-05,1.29E-09,0.00012874,7.09E-06,9.96E-08,0.00019402,0.00013643,S,S,S,2000178,3.488,2457132.678,20150420.18,,212.8916781
,,,0.832,,,0.01661577,8.15,,,,,,,,0.408,2.972046841,3.311520822,0.1609,MBA,2636.327922,0,42228,77.69,1.4,,0.114222285,2457000.5,20141209,57000,J2000,,,1899-02-12,179 Klytaemnestra,7.814640228,a0000179,9/25/14,323.2791012,1.64268,639.2817756,0.192362583,,,1203,Klytaemnestra,N,251.9390213,JPL 9,179,1871.465828,5.123794191,N,,2.49E-40,Otto Matic,1.60E-41,,2.632572859,0.62298,11.173,-1.82517E+15,4.98E-52,1.53E-08,1.71E-08,4.30E-08,5.39E-06,2.34E-05,1.49E-09,3.93E-05,1.45E-05,1.29E-07,0.0001222,4.51E-05,Sk,Sk,S,2000179,3.238,2457191.394,20150617.89,,103.8728369
,,,0.829,,,,10.31,,,,,,,,0.451,2.72368655,3.173239324,,MBA,2641.866335,0,34743,,,,0.165053051,2457000.5,20141209,57000,J2000,29.74947811,,4/21/19,180 Garumna,0.866311212,a0000180,6/4/14,170.5111166,1.28943,501.8074731,0.219264531,,,1524,Garumna,N,312.2023136,JPL 7,180,1641.852415,4.495146928,N,,4.67E-39,Otto Matic,3.01E-40,,2.274133776,0.55823,23.866,-3.42E+16,9.34E-51,1.20E-08,1.40E-08,4.38E-08,5.34E-06,1.65E-05,1.45E-09,0.00035037,1.08E-05,1.18E-07,7.41E-05,0.00035075,Sq,Sq,S,2000180,3.337,2456222.85,20121022.35,,175.7210037
,,,0.815,,,,7.84,,,,,,,,0.379,3.129158741,3.765146016,0.1135,MBA,2634.609809,0,44607,106.66,2.2,,0.20324545,2457000.5,20141209,57000,J2000,,,1892-08-27,181 Eucharis,18.89156843,a0000181,10/14/14,285.5793066,1.53884,598.8703628,0.178058488,,,1301,Eucharis,N,143.2236412,JPL 41,181,2021.807577,5.535407466,N,,1.59E+17,Otto Matic,1.02E+16,,2.493171465,0.53026,52.23,2.28E+18,131.7504904,1.61E-08,1.93E-08,3.51E-08,4.96E-06,1.12E-05,1.37E-09,1.25E-05,1.56E-05,1.09E-07,6.39E-05,1.62E-05,Xk,Xk,S,2000181,3.1,2457418.456,20160130.96,,318.8121415
,,,0.862,,,,9.12,,,,,,,,0.425,2.416374171,2.865179395,0.2083,MBA,2649.311828,0,40431,43.68,4.1,,0.185734987,2457000.5,20141209,57000,J2000,,,1/14/04,182 Elsa,2.004552973,a0000182,9/24/14,223.017698,0.980014,381.3920484,0.262396354,,,1411,Elsa,N,107.240926,JPL 78,182,1371.970281,3.756249914,N,,1.48E-38,Otto Matic,9.55E-40,,1.967568946,0.64015,80.088,-1.08E+17,2.96E-50,7.00E-09,8.29E-09,4.05E-08,4.62E-06,1.19E-05,1.14E-09,0.00013921,5.96E-06,9.74E-08,4.58E-05,0.00013973,S,S,S,2000182,3.492,2457522.543,20160514.04,,310.2263304
,,,0.842,,,,9.68,,,,,,,,0.359,2.789950912,3.770154119,0.189,MBA,2644.18595,0,39585,35.43,2.8,,0.351333496,2457000.5,20141209,57000,J2000,,,2/22/06,183 Istria,26.39268878,a0000183,7/10/14,167.8289604,1.00745,392.0693165,0.211499444,,,1221,Istria,N,141.9559082,JPL 13,183,1702.132131,4.660183795,N,,7.89E-39,Otto Matic,5.09E-40,,1.809747704,0.51066,11.77,-5.78E+16,1.58E-50,1.26E-08,1.71E-08,3.85E-08,5.69E-06,7.57E-06,1.44E-09,1.19E-05,1.16E-05,1.07E-07,3.45E-05,1.38E-05,S,S,S,2000183,3.093,2456206.98,20121006.48,,264.2055355
,,,0.699,,,,8.31,,,,,,,,0.227,3.185950745,3.399160596,0.1897,MBA,2632.220381,0,44458,66.47,2,,0.066921892,2457000.5,20141209,57000,J2000,,,1892-09-30,184 Dejopeja,1.143886141,a0000184,6/21/14,15.61848158,1.97669,769.2684473,0.173318726,,,1660,Dejopeja,N,331.613131,JPL 56,184,2077.098121,5.686784725,N,,3.85E+16,Otto Matic,2.47278E+15,,2.972740894,0.57673,6.455,5.51E+17,131.631019,1.86E-08,1.99E-08,4.02E-08,4.64E-06,3.51E-05,1.52E-09,0.00023431,1.82E-05,1.27E-07,0.00020228,0.0002364,X,X,X,2000184,3.194,2456910.386,20140909.89,,209.3033499
,,,0.668,,,0.257677895,7.62,,,,,,,,0.331,2.73721988,3.09137525,0.0638,MBA,2641.176244,0,47460,157.51,2.6,,0.129385064,2457000.5,20141209,57000,J2000,,,1884-07-12,185 Eunike,23.23818327,a0000185,6/21/14,196.7426616,1.41793,551.8158181,0.217640415,,,2020,Eunike,N,153.8432681,JPL 59,185,1654.104546,4.528691433,N,,33291286228,Otto Matic,2144035400,,2.38306451,0.5249,21.797,-27778935930,132.0788122,5.96E-09,6.73E-09,2.78E-08,3.63E-06,1.33E-05,7.11E-10,9.40E-06,5.40E-06,7.58E-08,6.17E-05,1.59E-05,C,C,C,2000185,3.223,2457750.624,20161228.12,,224.1962452
,,,0.859,,,,8.91,,,,,,,,0.397,2.362043224,2.715672181,0.1929,MBA,2650.287243,0,47808,49.99,1.6,,0.149713161,2457000.5,20141209,57000,J2000,,,1883-12-07,186 Celuta,13.17402594,a0000186,10/29/14,112.9781418,1.0216,397.576072,0.27150155,,,1109,Celuta,N,14.82474833,JPL 46,186,1325.959282,3.630278665,N,,1.91E+17,Otto Matic,1.23E+16,,2.008414267,0.59114,19.842,-1.60E+17,132.5343622,9.37E-09,1.08E-08,4.52E-08,5.96E-06,1.84E-05,1.62E-09,2.16E-05,7.89E-06,1.06E-07,6.69E-05,2.76E-05,K,K,S,2000186,3.5,2456584.377,20131018.88,,315.0861267
,,,0.709,,,0.21720615,8.16,,,,,,,,0.348,2.728547491,3.385495933,0.0566,MBA,2642.934711,0,40933,130.4,2.7,,0.240768557,2457000.5,20141209,57000,J2000,,,1902-09-26,187 Lamberta,10.58588543,a0000187,10/21/14,86.21212341,1.06871,415.9098707,0.218678858,,,1332,Lamberta,N,21.70927209,JPL 64,187,1646.249677,4.507185974,N,,28062446374,Otto Matic,1808489359,,2.07159905,0.56001,10.67,-23415884100,132.1667356,1.17E-08,1.45E-08,3.30E-08,3.44E-06,1.04E-05,1.40E-09,1.89E-05,1.05E-05,9.09E-08,4.66E-05,2.04E-05,Ch,Ch,C,2000187,3.289,2456606.259,20131109.76,,196.9214393
,,,0.891,,,,9.22,,,,,,,,0.386,2.763292041,3.254445782,0.2431,MBA,2641.191259,0,36296,38.61,1,,0.177742249,2457000.5,20141209,57000,J2000,,,6/14/15,188 Menippe,11.69934348,a0000188,10/28/14,218.021645,1.2902,502.107134,0.214567477,,,1081,Menippe,N,240.9473765,JPL 39,188,1677.79388,4.593549296,N,,1.02E-38,Otto Matic,6.57E-40,,2.2721383,0.57129,11.98,-7.48E+16,2.04E-50,1.41E-08,1.66E-08,4.03E-08,5.29E-06,1.44E-05,1.64E-09,2.41E-05,1.28E-05,1.11E-07,6.88E-05,2.73E-05,S,S,S,2000188,3.288,2457662.196,20160930.7,,69.94265515
,,,0.904,,,0.002562432,9.33,,,,,,,,0.491,2.449984701,2.540836503,0.231,MBA,2647.282135,0,49061,37.66,2,,0.0370826,2457000.5,20141209,57000,J2000,,,1880-02-08,189 Phthia,5.177384938,a0000189,6/6/14,182.2514346,1.35904,528.8975968,0.257015322,,,1358,Phthia,N,203.4302048,JPL 51,189,1400.6947,3.834893087,N,,1.92E-41,Otto Matic,1.24E-42,,2.359132899,0.61434,22.346,-2.81472E+14,3.84E-53,7.91E-09,8.20E-09,4.38E-08,5.22E-06,5.85E-05,1.24E-09,4.96E-05,6.78E-06,1.08E-07,0.00022783,7.62E-05,Sa,Sa,S,2000189,3.49,2457692.087,20161030.59,,168.5596663
,,,0.683,,,,7.59,,,,,,,,0.269,3.993247856,4.65674878,0.066,OMB,2622.267864,0,43824,159,,,0.166155708,2457000.5,20141209,57000,J2000,,,1894-11-06,190 Ismene,6.172971767,a0000190,11/1/14,60.03532285,2.35391,916.0711547,0.12351357,,,1335,Ismene,N,175.469693,JPL 77,190,2914.659509,7.979902831,N,,5.27E+17,Otto Matic,3.37E+16,,3.329746933,0.64929,6.52,7.55E+18,131.1333932,3.39E-08,3.95E-08,4.41E-08,5.52E-06,1.49E-05,1.57E-09,5.03E-05,3.71E-05,1.84E-07,0.00011937,5.25E-05,X,X,P,2000190,3.021,2456514.437,20130809.94,,272.0693804
,,,0.675,,,,9.07,,,,,,,,0.258,2.893790327,3.158048953,0.0408,MBA,2637.646309,0,47306,101.03,3.5,,0.091319203,2457000.5,20141209,57000,J2000,,,1885-01-09,191 Kolga,11.50754926,a0000191,7/18/14,205.9334839,1.64608,640.6049536,0.200218168,,,1475,Kolga,N,159.3164133,JPL 75,191,1798.038629,4.922761475,N,,8.02E+17,Otto Matic,5.16E+16,,2.629531701,0.57303,17.604,-6.74E+17,131.9023155,1.35E-08,1.48E-08,3.69E-08,4.92E-06,2.55E-05,1.40E-09,2.19E-05,1.26E-05,1.07E-07,0.00012878,3.33E-05,Cb,Cb,XC,2000191,3.254,2457769.993,20170116.49,,227.2682393
,,,0.927,,0.03,0.14447045,7.13,,,,,,,,0.487,2.402921649,2.994210092,0.233,MBA,2650.570444,0,49434,103.26,1.9,,0.24607063,2457000.5,20141209,57000,J2000,,,1879-03-27,192 Nausikaa,6.813741499,a0000192,7/31/14,295.5705352,0.815245,317.2688967,0.264602936,1,0,1767,Nausikaa,N,343.2501081,JPL 83,192,1360.529122,3.724925727,N,,2.17E-45,Otto Matic,1.40E-46,,1.811633206,0.58498,13.625,-15869450000,4.33E-57,3.07E-09,3.82E-09,2.37E-08,3.39E-06,6.94E-06,5.06E-10,2.63E-05,2.60E-06,5.72E-08,2.65E-05,2.73E-05,Sl,Sl,S,2000192,3.473,2457243.995,20150809.49,,30.05820777
,,,0.811,,,,9.68,,,,,,,,0.306,2.600666461,3.372391943,,MBA,2646.865192,0,36161,,,,0.296741429,2457000.5,20141209,57000,J2000,39.76301906,,9/10/15,193 Ambrosia,12.00955857,a0000193,9/11/14,190.4291526,0.887068,345.2202536,0.235004992,,,1027,Ambrosia,N,349.9791545,JPL 13,193,1531.882349,4.194065296,N,,1.12E-38,Otto Matic,7.20E-40,,1.828940979,0.52232,6.581,-8.17E+16,2.23E-50,8.64E-09,1.12E-08,4.08E-08,6.59E-06,1.15E-05,1.17E-09,2.37E-05,7.64E-06,1.04E-07,5.07E-05,2.63E-05,Sk,Sk,,2000193,3.321,2457722.063,20161129.56,,81.37822473
,,,0.724,,,0.1488079,7.68,,,,,,,,0.341,2.615177763,3.237294706,0.0528,MBA,2645.364691,0,49374,168.42,4.1,,0.237887058,2457000.5,20141209,57000,J2000,,,1879-03-22,194 Prokne,18.509398,a0000194,5/27/14,262.4283928,0.988292,384.6135976,0.233051687,,,1522,Prokne,N,159.3179103,JPL 103,194,1544.721706,4.229217537,N,,19225577700,Otto Matic,1240134946,,1.99306082,0.61681,15.679,-16042218600,132.2882346,5.85E-09,7.24E-09,2.54E-08,3.41E-06,6.48E-06,7.82E-10,9.72E-06,5.18E-06,6.64E-08,2.84E-05,1.13E-05,C,C,C,2000194,3.296,2457419.169,20160131.67,,163.2888416
,,,0.704,,,,9.01,,,,,,,,0.387,2.878854861,3.006445805,0.0599,MBA,2637.694709,0,47667,85.71,1.7,,0.044320033,2457000.5,20141209,57000,J2000,,,1884-04-22,195 Eurykleia,6.966313064,a0000195,10/25/14,350.5858038,1.77346,690.1774282,0.201778281,,,1532,Eurykleia,N,7.029708622,JPL 14,195,1784.136517,4.884699568,N,,4.90E+17,Otto Matic,3.15E+16,,2.751263918,0.55326,16.521,-4.09E+17,131.9047354,1.39E-08,1.45E-08,3.96E-08,5.51E-06,6.00E-05,1.46E-09,3.78E-05,1.29E-05,1.15E-07,0.00029748,7.07E-05,Ch,Ch,C,2000195,3.283,2457047.156,20150124.66,,121.010421
,,,0.852,,,0.3409903,6.54,,,,,,,,0.451,3.112392385,3.173353797,0.2299,MBA,2633.309126,0,49462,136.39,6.3,,0.019586673,2457000.5,20141209,57000,J2000,,,1879-05-15,196 Philomela,7.259814426,a0000196,10/16/14,166.5339331,2.03786,793.0739762,0.179499217,,,1805,Philomela,N,72.52640566,JPL 85,196,2005.579782,5.490978186,N,,5.11E-45,Otto Matic,3.28E-46,,3.051430973,0.6133,8.334,-37456300000,1.02E-56,7.82E-09,7.98E-09,3.10E-08,3.80E-06,8.25E-05,6.77E-10,2.79E-05,7.56E-06,9.70E-08,0.00045918,8.76E-05,S,S,S,2000196,3.206,2456072.73,20120525.23,,198.0451834
