Date,Team,Opponent,Team Score,Opponent Score,Location,Team Margin,Team Result,Team Location,Team Avg Scoring Margin,Opponent Average Scoring Margin
3/9/13,Dayton,G Washington,80,81,G Washington,-1,Loss,Away,5.47,0.93
3/9/13,Georgetown,Syracuse,61,39,Georgetown,22,Win,Home,8.90,12.68
3/9/13,Syracuse,Georgetown,39,61,Georgetown,-22,Loss,Away,12.68,8.90
3/9/13,Harvard,Cornell,65,56,Harvard,9,Win,Home,4.70,-4.90
3/9/13,Cornell,Harvard,56,65,Harvard,-9,Loss,Away,-4.90,4.70
3/9/13,Chicago St,Houston Bap,71,58,Houston Bap,13,Win,Away,-8.12,-7.52
3/9/13,Houston Bap,Chicago St,58,71,Houston Bap,-13,Loss,Home,-7.52,-8.12
3/9/13,Idaho,Seattle,76,72,Idaho,4,Win,Home,-2.04,-3.18
3/9/13,Seattle,Idaho,72,76,Idaho,-4,Loss,Away,-3.18,-2.04
3/9/13,Idaho St,Portland St,72,71,Idaho St,1,Win,Home,-8.14,-5.31
3/9/13,Portland St,Idaho St,71,72,Idaho St,-1,Loss,Away,-5.31,-8.14
3/9/13,Iowa,Nebraska,74,60,Iowa,14,Win,Home,7.61,-4.90
3/9/13,Nebraska,Iowa,60,74,Iowa,-14,Loss,Away,-4.90,7.61
3/9/13,Kentucky,Florida,61,57,Kentucky,4,Win,Home,9.26,18.77
3/9/13,Florida,Kentucky,57,61,Kentucky,-4,Loss,Away,18.77,9.26
3/9/13,Lafayette,Lehigh,82,69,Lafayette,13,Win,Home,-0.41,7.24
3/9/13,Lehigh,Lafayette,69,82,Lafayette,-13,Loss,Away,7.24,-0.41
3/9/13,Louisville,Notre Dame,73,57,Louisville,16,Win,Home,15.55,7.81
3/9/13,Notre Dame,Louisville,57,73,Louisville,-16,Loss,Away,7.81,15.55
3/9/13,Mississippi,LSU,81,67,LSU,14,Win,Away,11.10,2.52
3/9/13,LSU,Mississippi,67,81,LSU,-14,Loss,Home,2.52,11.10
3/9/13,Memphis,UAB,86,71,Memphis,15,Win,Home,10.58,-0.87
3/9/13,UAB,Memphis,71,86,Memphis,-15,Loss,Away,-0.87,10.58
3/9/13,FL Gulf Coast,Mercer,88,75,Mercer,13,Win,Away,4.57,5.41
3/9/13,Mercer,FL Gulf Coast,75,88,Mercer,-13,Loss,Home,5.41,4.57
3/9/13,Miami FL,Clemson,62,49,Miami FL,13,Win,Home,9.13,1.57
3/9/13,Clemson,Miami FL,49,62,Miami FL,-13,Loss,Away,1.57,9.13
3/9/13,Mississippi St,Auburn,74,71,Mississippi St,3,Win,Home,-9.30,-3.81
3/9/13,Auburn,Mississippi St,71,74,Mississippi St,-3,Loss,Away,-3.81,-9.30
3/9/13,Montana,Northern Arizona,63,50,Montana,13,Win,Home,4.56,-7.90
3/9/13,Northern Arizona,Montana,50,63,Montana,-13,Loss,Away,-7.90,4.56
3/9/13,Montana St,CS Sacramento,71,55,Montana St,16,Win,Home,-3.89,-2.63
3/9/13,CS Sacramento,Montana St,55,71,Montana St,-16,Loss,Away,-2.63,-3.89
3/9/13,New Mexico St,UT Arlington,69,66,New Mexico St,3,Win,Home,4.53,1.55
3/9/13,UT Arlington,New Mexico St,66,69,New Mexico St,-3,Loss,Away,1.55,4.53
3/9/13,McNeese St,Nicholls St,91,88,Nicholls St,3,Win,Away,-6.73,-5.66
3/9/13,Nicholls St,McNeese St,88,91,Nicholls St,-3,Loss,Home,-5.66,-6.73
3/9/13,Duke,North Carolina,69,53,North Carolina,16,Win,Away,13.58,7.30
3/9/13,North Carolina,Duke,53,69,North Carolina,-16,Loss,Home,7.30,13.58
3/9/13,North Dakota,Southern Utah,68,61,North Dakota,7,Win,Home,-3.68,-6.68
3/9/13,Southern Utah,North Dakota,61,68,North Dakota,-7,Loss,Away,-6.68,-3.68
3/9/13,Northwestern LA,Sam Houston St,84,73,Northwestern LA,11,Win,Home,5.76,-1.64
3/9/13,Sam Houston St,Northwestern LA,73,84,Northwestern LA,-11,Loss,Away,-1.64,5.76
3/9/13,Ohio,Miami OH,58,54,Ohio,4,Win,Home,9.16,-6.82
3/9/13,Miami OH,Ohio,54,58,Ohio,-4,Loss,Away,-6.82,9.16
3/9/13,Oklahoma St,Kansas St,76,70,Oklahoma St,6,Win,Home,10.47,7.60
3/9/13,Kansas St,Oklahoma St,70,76,Oklahoma St,-6,Loss,Away,7.60,10.47
3/9/13,Pacific,Long Beach St,71,51,Pacific,20,Win,Home,1.55,-1.86
3/9/13,Long Beach St,Pacific,51,71,Pacific,-20,Loss,Away,-1.86,1.55
3/9/13,Purdue,Minnesota,89,73,Purdue,16,Win,Home,1.00,7.03
3/9/13,Minnesota,Purdue,73,89,Purdue,-16,Loss,Away,7.03,1.00
3/9/13,Massachusetts,Rhode Island,75,66,Rhode Island,9,Win,Away,1.86,-5.55
3/9/13,Rhode Island,Massachusetts,66,75,Rhode Island,-9,Loss,Home,-5.55,1.86
