Max of 2011,Column Labels,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,WP11630.1.1,WP11630.1.10,WP11630.1.11,WP11630.1.2,WP11630.1.3,WP11630.1.4,WP11630.1.5,WP11630.1.6,WP11630.1.7,WP11630.1.8,WP11630.1.9,WP11631.1.1,WP11631.1.10,WP11631.1.11,WP11631.1.2,WP11631.1.3,WP11631.1.4,WP11631.1.5,WP11631.1.6,WP11631.1.7,WP11631.1.8,WP11631.1.9,Grand Total,
Dominican Republic,41.32958,29.97687,46.76015,43.29341,39.58574,54.22057,38.38007,29.45282,50.3903,36.19852,42.90892,3.893385,0.8096356,5.384286,3.990368,3.804727,5.66559,3.496927,2.345178,5.046352,0.8052191,4.83334,54.22057,Dominican Republic
Euro area,71.86282359,67.69994139,71.55272221,75.5910587,68.39041598,73.53059079,72.13220083,45.55661331,78.23087605,67.43533465,75.97487659,16.11395973,15.40737481,17.57987073,16.41980462,15.78070131,24.44945204,15.00294559,9.912805863,17.62675248,13.93375306,18.38404012,78.23087605,Euro area
Europe & Central Asia (developing only),67.05573936,59.95704986,75.88576659,68.5363853,65.7176748,74.15112477,66.0033871,51.09031216,69.36188393,56.71345217,71.90239214,22.44113818,16.48915036,30.44732865,23.04874878,22.67981226,29.161555,21.11281191,21.6411502,21.6882194,18.71794309,24.5228292,75.88576659,Europe & Central Asia (developing only)
Grand Total,88.22781,87.85278,88.85037,89.08311,87.38776,94.74483,87.67052,93.66599,87.86637,83.02229,91.19684,42.98305,64.11084,43.15738,39.45477,46.1672,45.97221,44.05136,38.82996,46.16616,39.41197,48.35079,94.74483,
,,,,,,,,,,,,,,,,,,,,,,,,
,88.22781,87.85278,88.85037,89.08311,87.38776,94.74483,87.67052,93.66599,87.86637,83.02229,91.19684,42.98305,64.11084,43.15738,39.45477,46.1672,45.97221,44.05136,38.82996,46.16616,39.41197,48.35079,,
,Europe & Central Asia (developing only),Europe & Central Asia (developing only),Europe & Central Asia (developing only),Europe & Central Asia (developing only),Europe & Central Asia (developing only),Europe & Central Asia (developing only),Europe & Central Asia (developing only),Europe & Central Asia (developing only),Europe & Central Asia (developing only),Europe & Central Asia (developing only),Europe & Central Asia (developing only),Europe & Central Asia (developing only),Djibouti,Europe & Central Asia (developing only),Europe & Central Asia (developing only),Europe & Central Asia (developing only),Djibouti,Europe & Central Asia (developing only),Djibouti,Europe & Central Asia (developing only),Djibouti,Europe & Central Asia (developing only),,
,WP11630.1.1,WP11630.1.10,WP11630.1.11,WP11630.1.2,WP11630.1.3,WP11630.1.4,WP11630.1.5,WP11630.1.6,WP11630.1.7,WP11630.1.8,WP11630.1.9,WP11631.1.1,WP11631.1.10,WP11631.1.11,WP11631.1.2,WP11631.1.3,WP11631.1.4,WP11631.1.5,WP11631.1.6,WP11631.1.7,WP11631.1.8,WP11631.1.9,,
,,,,,,,,,,,,,,,,,,,,,,,,
,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,,
