Rank,Value,Player,Yr,Ht,Wt,Gms,Team
8,15.037,Tomas Sanchez,Sr,3-Jun,185,27,Idaho State
9,14.185,Andre` Hatchett,Sr,4-Jun,185,27,Idaho State
10,13.731,Jordan Gregory,Jr,2-Jun,183,26,Montana
11,13.621,Venky Jois,So,7-Jun,230,29,Eastern Washington
12,13.481,Derrick Barden,Sr,5-Jun,225,27,Northern Colorado
13,12.852,Tim Douglas,Jr,10-May,160,27,Portland State
13,12.852,Dylan Garrity,Jr,2-Jun,175,27,Sacramento State
15,12.808,DaShaun Wiggins,Jr,2-Jun,190,26,Portland State
16,12.643,Flavien Davis,Sr,5-Jun,225,28,Montana State
17,12.333,Tate Unruh,Sr,4-Jun,180,27,Northern Colorado
18,12.231,Keron DeShields,Jr,2-Jun,182,26,Montana
19,12.069,Max Jacobsen,Sr,8-Jun,230,29,Northern Arizona
20,11.577,Jeremy Senglin,Fr,2-Jun,185,26,Weber State
20,11.778,Aaron Moore,Sr,8-Jun,215,9,Portland State
21,11.259,Tim Huskisson,Jr,5-Jun,210,27,Northern Colorado
22,11.192,Kyle Tresnak,Sr,10-Jun,240,26,Weber State
23,11.083,Gary Winston,Jr,Jun-00,190,24,Portland State
24,11,Drew Brandon,Jr,4-Jun,180,28,Eastern Washington
24,11,Aaseem Dixon,Jr,Jun-00,185,29,Northern Arizona
26,10.679,Jaron Nash,Sr,8-Jun,185,28,North Dakota
27,10.25,Aaron Anderson,Sr,10-May,150,28,North Dakota
28,10.231,Jeffrey Solarin,Jr,4-Jun,210,26,Idaho State
29,9.852,Tevin Svihovec,Jr,2-Jun,190,27,Northern Colorado
30,9.846,Dre` Winston Jr.,Jr,1-Jun,170,26,Portland State
31,9.786,Marcus Colbert,So,11-May,180,28,Montana State
32,9.519,Paul Egwuonwu,Sr,9-Jun,235,27,Montana State
33,9.517,Kris Yanku,Fr,4-Jun,183,29,Northern Arizona
34,9.483,Parker Kelly,Jr,4-Jun,195,29,Eastern Washington
35,9.481,Trey Kennedy,Fr,3-Jun,190,27,Southern Utah
36,9.444,A.J. Hess,So,6-Jun,190,27,Southern Utah
37,8.926,Kyle Richardson,Sr,7-Jun,235,27,Portland State
38,8.68,Joel Bolomboy,So,9-Jun,225,25,Weber State
39,8.652,Ognjen Miljkovic,Fr,7-Jun,220,23,Eastern Washington
40,8.192,Michael Weisner,Jr,7-Jun,195,26,Montana
41,8.091,Calen Coleman,Sr,4-Jun,200,22,Montana State
42,8.037,Jordan Wilson,Fr,7-May,155,27,Northern Colorado
43,7.815,Antonio Biglow,Sr,Jun-00,165,27,Montana State
44,7.704,Marcus Hall,Sr,4-Jun,200,27,Portland State
45,7.556,Cody Demps,So,4-Jun,185,27,Sacramento State
46,7.429,Jamal Webb,Sr,1-Jun,188,28,North Dakota
47,7.345,Gaellan Bewernick,Jr,6-Jun,215,29,Northern Arizona
48,7.207,Martin Seiferth,Jr,10-Jun,235,29,Eastern Washington
49,6.962,Jordan Richardson,Sr,1-Jun,180,26,Weber State
50,6.926,Casey Oliverson,So,8-Jun,230,27,Southern Utah
50,6.926,Zach Mills,Jr,5-Jun,185,27,Sacramento State
52,6.846,Dominique Lee,Jr,5-Jun,215,26,Northern Colorado
53,6.76,Alonzo Traylor,Sr,7-Jun,214,25,North Dakota
54,6.731,Mario Dunn Jr.,Fr,Jun-00,170,26,Montana
55,6.615,Richaud Gittens,Fr,4-Jun,185,26,Weber State
56,6.37,Jaren Jeffery,Sr,8-Jun,210,27,Southern Utah
57,6.296,Jordan Salley,Sr,6-Jun,230,27,Sacramento State
58,6.214,Terrell Brown,So,4-Jun,200,28,Montana State
59,6.167,Michael Dison,Jr,9-May,160,24,Montana State
60,5.963,Evann Hall,So,4-Jun,200,27,Idaho State
61,5.926,Stephan Holm,Fr,3-Jun,175,27,Montana State
62,5.704,Eric Stuteville,Fr,10-Jun,220,27,Sacramento State
63,5.609,Josh Schuler,Sr,3-Jun,184,23,North Dakota
64,5.037,John Marshall,Fr,1-Jun,185,27,Southern Utah
65,4.808,Kyndahl Hill,Fr,7-Jun,210,26,Weber State
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,19.933,Andrew Rowsey,Fr,10-May,175,30,North Carolina-Asheville
2,19.839,Jordan Downing,Jr,5-Jun,200,31,Presbyterian
3,19.621,QJ Peterson,Fr,Jun-00,170,29,Virginia Military Institute
4,19.552,John Brown,Fr,8-Jun,205,29,High Point
5,18.655,D.J. Covington,Sr,9-Jun,235,29,Virginia Military Institute
6,18.467,Tristan Carey,Sr,4-Jun,185,30,Longwood
7,18.448,Rodney Glasgow,Sr,10-May,170,29,Virginia Military Institute
8,17.032,Javonte Green,Jr,4-Jun,205,31,Radford
8,15.4,Allan Chaney,Sr,9-Jun,240,5,High Point
9,16.4,Elijah Wilson,Fr,4-Jun,205,30,Coastal Carolina
10,15.867,Jaron Lane,Sr,4-Jun,185,30,North Carolina-Asheville
11,14.533,Warren Gillis,Jr,3-Jun,205,30,Coastal Carolina
12,14.241,Jerome Hill,So,5-Jun,210,29,Gardner-Webb
13,13.667,Josh Cameron,Jr,1-Jun,175,30,Coastal Carolina
14,13.261,Saah Nimley,Jr,8-May,158,23,Charleston Southern
15,13.24,Keon Moore,Jr,5-Jun,190,25,Winthrop
16,13.1,Antwan Burrus,Sr,6-Jun,235,30,Liberty
16,13,Will Weeks,So,6-Jun,220,2,North Carolina-Asheville
17,13,R.J. Price,Jr,11-May,180,31,Radford
18,12.552,Devante Wallace,Jr,5-Jun,185,29,High Point
19,12.516,Reco McCarter,Jr,6-Jun,195,31,Campbell
20,12.345,Matt Kennedy,Sr,3-Jun,180,29,Charleston Southern
20,12.345,Keon Johnson,Fr,7-May,160,29,Winthrop
22,12.259,Joab Jerome,Sr,5-Jun,197,27,Winthrop
23,12.103,Reggie Dillard,Fr,4-Jun,210,29,Presbyterian
24,12.033,Naji Hibbert,Sr,5-Jun,190,30,Gardner-Webb
25,12,Adam Weary,So,3-Jun,205,22,High Point
25,12,Arlon Harper,Jr,2-Jun,180,27,Charleston Southern
27,11.935,Karl Ziegler,So,5-Jun,215,31,Longwood
28,11.71,John Caleb Sanders,Sr,Jun-00,180,31,Liberty
29,11.516,Lucas Woodhouse,So,1-Jun,165,31,Longwood
30,11.226,Ya Ya Anderson,So,2-Jun,195,31,Radford
31,11.034,Sheldon Strickland,Sr,Jun-00,175,29,Charleston Southern
32,11,D.J. Cunningham,Sr,10-Jun,240,25,North Carolina-Asheville
32,11,Tomasz Gielo,Jr,9-Jun,220,31,Liberty
34,10.968,William Truss,Jr,7-Jun,257,31,Presbyterian
35,10.586,Will Saunders,Jr,7-Jun,190,29,Charleston Southern
36,10.484,Darius Leonard,Jr,9-Jun,225,31,Campbell
37,10.452,Jeylani Dublin,Jr,6-Jun,225,31,Longwood
38,10.379,Andre Smith,Jr,10-May,170,29,Winthrop
39,10.321,Donta Harper,Jr,7-Jun,205,28,Gardner-Webb
40,10.233,Davon Marshall,Sr,11-May,170,30,Liberty
41,10.194,Rashun Davis,So,11-May,185,31,Radford
42,9.968,Andrew Ryan,Jr,5-Jun,200,31,Campbell
43,9.29,Tyler Strange,Jr,10-May,185,31,Gardner-Webb
44,8.933,Tyrell Nelson,Fr,7-Jun,230,30,Gardner-Webb
45,8.4,Markus Terry,Fr,Jun-00,190,30,Presbyterian
46,8.367,Sam Hughes,So,4-Jun,205,30,North Carolina-Asheville
47,8.161,Andrew Smith,Jr,9-Jun,220,31,Liberty
48,7.933,David Robertson,Fr,3-Jun,185,30,North Carolina-Asheville
49,7.862,Lorenzo Cugini,So,7-Jun,225,29,High Point
50,7.76,Danny Herrera,Jr,5-Jun,215,25,Presbyterian
51,7.556,Badou Diagne,So,7-Jun,220,27,Coastal Carolina
52,7.379,Jordan Weethee,So,6-Jun,210,29,Virginia Military Institute
53,7.207,Kyre` Hamer,Fr,3-Jun,195,29,Campbell
54,7.111,Brian Brown,Jr,11-May,185,27,Virginia Military Institute
55,7.103,Corey Littlejohn,Jr,3-Jun,180,29,North Carolina-Asheville
56,7,Leron Fisher,So,11-May,160,31,Longwood
57,6.484,Kion Brown,So,7-Jun,210,31,Radford
58,6.29,Leek Leek,Sr,6-Jun,215,31,Campbell
59,6.207,Cedrick Bowen,Jr,5-Jun,232,29,Charleston Southern
60,6.161,Jalen Carethers,Jr,8-Jun,205,31,Radford
61,6.071,Luke Moyer,So,Jun-00,170,28,Campbell
62,5.828,Paul Gombwer,Jr,6-Jun,217,29,Charleston Southern
63,5.71,Brandon Holcomb,So,7-Jun,215,31,Radford
64,5.7,Michel Enanga,So,5-Jun,215,30,Coastal Carolina
65,5.655,Darrion Allen,Fr,2-Jun,165,29,Longwood
66,5.231,James Bourne,Jr,8-Jun,240,26,Winthrop
67,5.194,Onzie Branch,Sr,6-Jun,215,31,Gardner-Webb
68,5.069,Larry Brown,Jr,6-Jun,210,29,Winthrop
69,5.032,Josh Castellanos,Sr,1-Jun,180,31,Gardner-Webb
70,4.964,Tevin Prescott,So,5-Jun,180,28,Winthrop
71,4.839,JR Coronado,Sr,8-Jun,245,31,Liberty
71,4.913,Isaiah Ivey,So,2-Jun,190,23,Gardner-Webb
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,17.929,Terran Petteway,Jr,6-Jun,209,28,Nebraska
2,17.923,Gary Harris,So,4-Jun,210,26,Michigan State
3,17.793,D.J. Newbill,Jr,4-Jun,205,29,Penn State
4,17.655,Kevin Yogi Ferrell,So,Jun-00,178,29,Indiana
5,17.103,Roy Devyn Marble,Sr,6-Jun,200,29,Iowa
6,17.074,Nik Stauskas,So,6-Jun,205,27,Michigan
7,15.864,Adreian Payne,Sr,10-Jun,245,22,Michigan State
8,15.759,Rayvonte Rice,Jr,4-Jun,235,29,Illinois
8,15.759,Tim Frazier,Sr,1-Jun,170,29,Penn State
10,15.464,Drew Crawford,Sr,5-Jun,215,28,Northwestern
11,14.607,Andre Hollins,Jr,2-Jun,195,28,Minnesota
12,14.567,LaQuinton Ross,Jr,8-Jun,220,30,Ohio State
13,13.448,Aaron White,Jr,9-Jun,220,29,Iowa
14,13.379,Sam Dekker,So,7-Jun,220,29,Wisconsin
15,13.357,Caris LeVert,Fr,6-Jun,200,28,Michigan
16,13.231,Keith Appling,Sr,1-Jun,185,26,Michigan State
17,13.034,Frank Kaminsky,Jr,11-Jun,234,29,Wisconsin
18,13,Glenn Robinson III,So,6-Jun,220,28,Michigan
19,12.621,Ben Brust,Sr,1-Jun,196,29,Wisconsin
20,12.24,JerShon Cobb,Sr,5-Jun,205,25,Northwestern
21,12.103,Terone Johnson,Sr,4-Jun,198,29,Purdue
22,12.071,Shavon Shields,So,7-Jun,219,28,Nebraska
23,11.833,Lenzelle Smith Jr.,Sr,4-Jun,210,30,Ohio State
24,11.767,Deandre Mathieu,Jr,9-May,165,30,Minnesota
25,11.607,Noah Vonleh,Fr,10-Jun,240,28,Indiana
26,11.567,Austin Hollins,Sr,4-Jun,190,30,Minnesota
27,11.107,Will Sheehey,Sr,7-Jun,200,28,Indiana
28,11.103,Tre Demps,So,2-Jun,193,29,Northwestern
29,10.966,Ronnie Johnson,So,Jun-00,178,29,Purdue
30,10.931,Tracy Abrams,Jr,2-Jun,190,29,Illinois
31,10.759,Traevon Jackson,Jr,2-Jun,208,29,Wisconsin
32,10.571,A.J. Hammons,So,Jul-00,251,28,Purdue
33,9.433,Aaron Craft,Sr,2-Jun,195,30,Ohio State
34,9.276,Josh Gasser,Jr,3-Jun,190,29,Wisconsin
35,9.207,Brandon Taylor,So,7-Jun,235,29,Penn State
35,9.207,Joseph Bertrand,Sr,6-Jun,200,29,Illinois
36,9.933,Deverell Biggs,Jr,Jun-00,175,15,Nebraska
37,9.103,Ross Travis,Jr,6-Jun,225,29,Penn State
38,8.893,Walter Pitchford,So,10-Jun,234,28,Nebraska
39,8.828,Alex Olah,So,Jul-00,265,29,Northwestern
40,8.655,Malik Smith,Sr,2-Jun,200,29,Minnesota
41,8.267,Amir Williams,Jr,11-Jun,250,30,Ohio State
41,9.5,Mitch McGary,So,10-Jun,255,8,Michigan
42,8.25,Derrick Walton Jr.,Fr,1-Jun,185,28,Michigan
43,8.241,Mike Gesell,So,1-Jun,190,29,Iowa
44,8.138,Denzel Valentine,So,5-Jun,225,29,Michigan State
45,8.034,Kendall Stephens,Fr,6-Jun,193,29,Purdue
46,7.897,Jarrod Uthoff,So,9-Jun,208,29,Iowa
47,7.821,Melsahn Basabe,Sr,7-Jun,220,28,Iowa
48,7.793,Nigel Hayes,Fr,7-Jun,250,29,Wisconsin
49,7.433,Sam Thompson,Jr,7-Jun,200,30,Ohio State
50,7.417,Maurice Walker,Jr,10-Jun,250,24,Minnesota
51,7.4,Shannon Scott,Jr,1-Jun,185,30,Ohio State
52,7.345,Jon Ekey,,7-Jun,225,29,Illinois
53,7.071,Zak Irvin,Fr,6-Jun,200,28,Michigan
54,6.962,Ray Gallegos,Sr,2-Jun,182,26,Nebraska
55,6.931,Nnanna Egwu,Jr,11-Jun,250,29,Illinois
55,2,George Marshall,So,11-May,182,2,Wisconsin
56,6.897,Donovon Jack,So,9-Jun,210,29,Penn State
57,6.852,Travis Trice,Jr,Jun-00,170,27,Michigan State
58,6.759,Gabriel Olaseni,Jr,10-Jun,225,29,Iowa
59,6.517,Troy Williams,Fr,7-Jun,206,29,Indiana
60,6.414,Bryson Scott,Fr,1-Jun,201,29,Purdue
61,6.231,Jeremy Hollowell,So,8-Jun,219,26,Indiana
62,6.172,Joey King,So,9-Jun,225,29,Minnesota
62,6.172,Stanford Robinson,Fr,4-Jun,193,29,Indiana
64,6.034,Evan Gordon,,Jun-00,192,29,Indiana
65,6,Zach McCabe,Jr,7-Jun,235,29,Iowa
66,5.929,Leslee Smith,Jr,8-Jun,255,28,Nebraska
67,5.793,Kendrick Nunn,Fr,9-Jun,210,29,Illinois
68,5.759,Rapheal Davis,So,5-Jun,211,29,Purdue
69,5.733,Eliott Eliason,Jr,11-Jun,240,30,Minnesota
69,5.722,Allen Roberts,Sr,3-Jun,214,18,Penn State
70,5.643,Oto Osenieks,Jr,8-Jun,220,28,Minnesota
71,5.448,Adam Woodbury,So,1-Jul,245,29,Iowa
72,5.179,Jordan Morgan,Sr,8-Jun,250,28,Michigan
73,5.034,Basil Smotherman,Fr,5-Jun,222,29,Purdue
74,4.87,Dave Sobolewski,Jr,1-Jun,180,23,Northwestern
75,4.778,Sterling Carter,Sr,Jun-00,193,27,Purdue
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,21.64,Alan Williams,Jr,7-Jun,240,25,UC-Santa Barbara
2,18.464,Corey Hawkins,Jr,3-Jun,195,28,UC Davis
3,18.097,Stephen Maxwell,Jr,7-Jun,220,31,Cal State Northridge
4,17.893,Michael Williams,Sr,2-Jun,185,28,Cal State Fullerton
4,17.333,Josh Ritchart,Sr,9-Jun,235,9,UC Davis
5,17.75,Christian Standhardi,Sr,8-Jun,220,28,Hawaii
6,16.581,Stephan Hicks,Jr,6-Jun,200,31,Cal State Northridge
7,16.179,Michael Caffey,Jr,Jun-00,175,28,Long Beach State
8,15.613,Josh Greene,Sr,Jun-00,180,31,Cal State Northridge
9,15.583,Alex Harris,Jr,1-Jun,170,24,Cal State Fullerton
10,15.429,Isaac Fotu,So,8-Jun,240,28,Hawaii
11,13.75,Garrett Nevels,Jr,2-Jun,180,28,Hawaii
12,13.679,Chris Eversley,Sr,7-Jun,225,28,Cal Poly
13,13.538,Chris Patton,Sr,10-Jun,246,26,UC Riverside
14,12.75,Taylor Johns,So,7-Jun,220,28,UC Riverside
15,12.179,Sam Finley,Fr,2-Jun,185,28,UC Riverside
16,12.067,Luke Nelson,Fr,3-Jun,182,30,UC Irvine
17,11.893,David Nwaba,So,4-Jun,195,28,Cal Poly
18,11.586,Ryan Sypkens,Sr,4-Jun,195,29,UC Davis
19,11.567,Chris McNealy,Sr,4-Jun,195,30,UC Irvine
20,11.28,Brandon Spearman,Sr,3-Jun,200,25,Hawaii
21,11.115,Michael Bryson,So,4-Jun,201,26,UC-Santa Barbara
22,10.37,Will Davis II,Jr,8-Jun,210,27,UC Irvine
23,10.333,Kyle Boswell,Sr,2-Jun,180,27,UC-Santa Barbara
24,10.25,Dan Jennings,Sr,9-Jun,245,28,Long Beach State
25,9.682,Kyle Odister,Sr,Jun-00,175,22,Cal Poly
26,9,Alex Young,So,1-Jun,190,30,UC Irvine
27,8.964,A.J. Spencer,Jr,3-Jun,200,28,Long Beach State
28,8.667,Georgi Funtarov,Fr,8-Jun,205,24,UC Davis
29,8.536,Keith Shamburger,Jr,Jun-00,170,28,Hawaii
29,8.536,Steven Thornton,Jr,4-Jun,205,28,UC Riverside
31,8.448,Mamadou Ndiaye,Fr,6-Jul,290,29,UC Irvine
32,8.037,Marquis Horne,Sr,6-Jun,225,27,Cal State Fullerton
33,8,Zalmico Harmon,Jr,Jun-00,185,27,UC-Santa Barbara
34,7.704,Taran Brown,So,8-Jun,190,27,UC-Santa Barbara
35,7.478,Brynton Lemar,Fr,4-Jun,192,23,UC Davis
36,7.143,Josh Gentry,Jr,4-Jun,180,28,Cal State Fullerton
37,6.96,Igor Nujic,Jr,8-Jun,215,25,UC Davis
38,6.839,Aaron Parks,Fr,3-Jun,198,31,Cal State Northridge
39,6.586,Darius Graham,Fr,10-May,180,29,UC Davis
40,6.308,Nick Gruninger,Jr,10-May,160,26,UC Riverside
41,6.29,Tre Hale-Edmerson,So,9-Jun,215,31,Cal State Northridge
42,6.286,Steven McClellan,Jr,7-Jun,250,28,Cal State Fullerton
43,6.214,Brian Bennett,So,9-Jun,240,28,Cal Poly
44,6.143,David Samuels,Jr,7-Jun,225,28,Long Beach State
45,5.556,Eric Childress,Fr,Jun-00,175,27,UC-Santa Barbara
46,5.179,Sheldon Blackwell,Fr,5-Jun,175,28,Cal State Fullerton
47,5.143,Clint Bozner,Jr,8-Jun,250,28,UC Davis
47,5.143,Branford Jones,Fr,1-Jun,185,28,Long Beach State
49,5.065,Landon Drew,So,1-Jun,175,31,Cal State Northridge
50,5,Quincy Smith,So,Jun-00,170,28,Hawaii
51,4.821,Jamal Johnson,Sr,Jun-00,170,28,Cal Poly
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,20.167,Devon Saddler,Sr,2-Jun,210,24,Delaware
2,19.645,Zeke Upshaw,,6-Jun,215,31,Hofstra
3,19.419,Davon Usher,Sr,6-Jun,200,31,Delaware
4,18.935,Jerrelle Benimon,Sr,8-Jun,245,31,Towson
5,18.621,Marcus Thornton,Jr,4-Jun,185,29,William & Mary
6,17.931,Chris Fouch,,2-Jun,185,29,Drexel
7,17.414,Frantz Massenat,Sr,4-Jun,190,29,Drexel
8,15.5,Scott Eatherton,Jr,8-Jun,219,30,Northeastern
9,14.276,Charles Cooke,So,6-Jun,190,29,James Madison
10,13.179,Dion Nesmith,,Jun-00,200,28,Hofstra
11,12.226,Willis Hall,Sr,6-Jun,235,31,College of Charleston
12,12.222,Tim Rusthoven,Sr,9-Jun,235,27,William & Mary
13,12.069,Ron Curry,So,4-Jun,190,29,James Madison
14,11.968,Rafriel Guthrie,Sr,3-Jun,210,31,Towson
15,11.926,Tavon Allen,So,7-Jun,190,27,Drexel
15,13,Damion Lee,Jr,6-Jun,200,5,Drexel
16,11.839,Cedrick Williams,Jr,9-Jun,225,31,North Carolina-Wilmington
17,11.759,Omar Prewitt,Fr,6-Jun,180,29,William & Mary
18,11.5,David Walker,So,6-Jun,176,30,Northeastern
19,11.355,Marcus Damas,Sr,7-Jun,210,31,Towson
20,11.097,Kyle Anderson,Jr,2-Jun,200,31,Delaware
21,11.037,Andrey Semenov,,7-Jun,200,27,James Madison
22,10.871,Carl Baptiste,Sr,9-Jun,260,31,Delaware
23,10.097,Mike Burwell,Sr,5-Jun,205,31,Towson
24,9.968,Anthony Stitt,Jr,1-Jun,180,31,College of Charleston
25,9.581,Jamall Robinson,Fr,5-Jun,210,31,Hofstra
26,9.516,Addison Spruill,Jr,4-Jun,225,31,North Carolina-Wilmington
27,9.129,Adjehi Baru,Jr,9-Jun,225,31,College of Charleston
28,9.111,Reggie Spencer,Jr,7-Jun,210,27,Northeastern
29,8.967,Demetrius Pollard,Jr,2-Jun,200,30,Northeastern
30,8.548,Four McGlynn,So,2-Jun,180,31,Towson
31,7.833,Nori Johnson,Sr,5-Jun,209,24,College of Charleston
32,7.258,Chris Dixon,Sr,Jun-00,190,31,North Carolina-Wilmington
33,7,Moussa Kone,Jr,7-Jun,220,31,Hofstra
33,7,Zach Stahl,So,5-Jun,201,30,Northeastern
35,6.968,Freddie Jackson,Jr,4-Jun,185,31,North Carolina-Wilmington
36,8.5,Quincy Ford,Jr,8-Jun,212,2,Northeastern
36,6.852,Joe Chealey,Fr,3-Jun,180,27,College of Charleston
37,6.806,Anthony Thomas,Sr,7-Jun,207,31,College of Charleston
38,6.759,Kyle Gaillard,Sr,8-Jun,220,29,William & Mary
39,6.75,T.J. Williams,Fr,3-Jun,190,28,Northeastern
40,6.536,Jordan Allen,So,6-Jun,200,28,Hofstra
41,6.44,Shane Reybold,Sr,8-Jun,238,25,North Carolina-Wilmington
42,6.267,Taylor Bessick,So,9-Jun,230,30,James Madison
43,6.258,Timajh Parker-Rivera,So,7-Jun,215,31,Towson
44,5.933,Jackson Kent,Fr,7-Jun,180,30,James Madison
45,5.839,Stephen Nwaukoni,Sr,8-Jun,240,31,Hofstra
46,5.517,Julian Boatner,Sr,2-Jun,185,29,William & Mary
47,5.452,Tanner Milson,Sr,2-Jun,190,31,North Carolina-Wilmington
48,5.393,Chris Jenkins,Fr,4-Jun,215,28,Hofstra
49,5.345,Terry Tarpey,So,5-Jun,200,29,William & Mary
50,5.207,Rodney Williams,Fr,7-Jun,220,29,Drexel
51,4.963,Dartaye Ruffin,Sr,8-Jun,250,27,Drexel
52,5,Jerome Hairston,So,3-Jun,190,5,Towson
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,18.931,Pablo Bertone,Sr,4-Jun,198,29,Florida Atlantic
1,21.444,Elijah Pittman,Sr,9-Jun,220,9,Marshall
2,18.333,Akeem Richmond,Sr,Jun-00,180,30,East Carolina
3,17.724,Chad Frazier,Jr,4-Jun,190,29,UAB
4,16.767,Tymell Murphy,Sr,5-Jun,210,30,Florida International
5,16.414,Aaron Bacote,So,4-Jun,180,29,Old Dominion
6,16.3,Louis Dabney,So,3-Jun,210,30,Tulane
7,16.233,Kareem Canty,Fr,1-Jun,185,30,Marshall
7,18.5,Paris Roberts-Campbe,Jr,3-Jun,185,2,East Carolina
8,14.793,James Woodard,So,3-Jun,183,29,Tulsa
9,14.567,Alex Hamilton,So,4-Jun,180,30,Louisiana Tech
10,14.5,Shawn Jones,Sr,8-Jun,236,30,Middle Tennessee State
11,14.3,Jonathan Stark,Fr,Jun-00,160,30,Tulane
12,13.933,Jay Hook,Jr,3-Jun,178,30,Tulane
13,13.6,Rakeem Buckles,Sr,7-Jun,215,30,Florida International
14,13.321,Ryan Taylor,Fr,5-Jun,225,28,Marshall
15,13.133,Neiko Hunter,Sr,7-Jun,221,30,Middle Tennessee State
16,13.04,Keon Lewis,Jr,2-Jun,180,25,Texas-San Antonio
17,13,C.J. Washington,Jr,8-Jun,219,28,UAB
18,12.867,Julian Washburn,Jr,8-Jun,210,30,Texas-El Paso
19,12.8,Vince Hunter,Fr,8-Jun,200,30,Texas-El Paso
20,12.667,Caleb White,Fr,6-Jun,190,30,East Carolina
21,12.6,Chris Thomas,So,5-Jun,188,30,Marshall
22,12.517,Jordan Williams,Jr,6-Jun,195,29,North Texas
23,12.483,Kerry Hammonds II,Sr,5-Jun,210,29,Middle Tennessee State
23,13.091,McKenzie Moore,Jr,6-Jun,200,11,Texas-El Paso
24,12.393,Shawn Lester,So,4-Jun,189,28,Charlotte
25,12.074,Pierria Henry,Jr,4-Jun,189,27,Charlotte
26,11.957,Rashad Smith,So,7-Jun,206,23,Tulsa
27,11.833,Chris Anderson,Sr,6-Jun,220,30,Louisiana Tech
28,11.821,Devon Agusi,Sr,Jun-00,170,28,Texas-San Antonio
28,11.821,John Bohannon,Sr,11-Jun,210,28,Texas-El Paso
30,12.167,Raymond Taylor,Sr,6-May,145,6,Florida International
30,11.667,Austin Ramljak,Sr,3-Jun,200,27,Rice
31,11.467,Dennis Mavin,Jr,3-Jun,183,30,Florida International
32,11.357,Sean Obi,Fr,9-Jun,265,28,Rice
32,11.357,Paris Campbell,Fr,3-Jun,175,28,East Carolina
34,11.207,Alzee Williams,Sr,4-Jun,175,29,North Texas
35,11.111,Michael Craig,Sr,5-Jun,230,27,Southern Miss
36,11.067,Daveon Boardingham,Sr,7-Jun,225,30,Southern Miss
37,10.893,Willie Clayton,So,9-Jun,237,28,Charlotte
38,10.833,Neil Watson,Sr,11-May,170,30,Southern Miss
39,10.793,Rod Rucker,Sr,5-Jun,220,29,UAB
40,10.733,Dimitri Batten,Jr,3-Jun,205,30,Old Dominion
40,10.733,Kenyon McNeail,Sr,1-Jun,190,30,Louisiana Tech
42,10.571,Jordan Sims,Sr,4-Jun,185,28,Texas-San Antonio
43,10.536,Terrence Williams,Jr,4-Jun,203,28,Charlotte
44,10.3,Marquan Botley,Fr,10-May,160,30,Florida Atlantic
45,10.233,Keenan Palmore,So,1-Jun,180,30,Old Dominion
46,10,Justin Raffington,Jr,9-Jun,245,30,Florida Atlantic
47,9.897,Shaquille Harrison,So,3-Jun,175,29,Tulsa
48,9.733,C.J. Cooper,Jr,Jun-00,180,30,Texas-El Paso
49,9.667,Aaron Brown,Jr,5-Jun,210,30,Southern Miss
50,9.607,Hyjii Thomas,Sr,1-Jun,160,28,Texas-San Antonio
51,9.5,Jerrold Brooks,Sr,Jun-00,205,28,Southern Miss
52,9.464,Max Guercy,So,9-May,165,28,Rice
53,9.433,Richard Ross,Jr,6-Jun,225,30,Old Dominion
54,9.2,Jaron Johnson,Sr,6-Jun,205,30,Louisiana Tech
55,9.143,Mike Thorne,So,11-Jun,257,28,Charlotte
56,9.103,Fahro Alihodzic,Sr,10-Jun,240,29,UAB
56,9.103,Jackson Trapp,So,4-Jun,186,29,Florida Atlantic
58,9.033,Michael Zangari,So,9-Jun,230,30,East Carolina
58,9.033,Prince Williams,So,5-Jun,200,30,East Carolina
60,8.897,Robert Williams,Sr,4-Jun,210,29,UAB
61,8.567,Jerome Frink,So,6-Jun,220,30,Florida International
62,8.214,Chris Jones,Jr,2-Jun,200,28,North Texas
62,8.55,Patrick Swilling Jr.,Sr,3-Jun,225,20,Tulsa
63,7.917,Keith Washington,So,1-Jun,180,24,Rice
64,7.593,Edrico McGregor,Sr,7-Jun,225,27,Texas-San Antonio
65,7.567,Shawn Smith,Jr,6-Jun,228,30,Marshall
66,7.483,D`Andre Wright,So,9-Jun,247,29,Tulsa
67,7.48,Denzel Ingram,So,Jun-00,171,25,Charlotte
68,7.4,Cordarius Johnson,Sr,6-Jun,220,30,Louisiana Tech
69,7.37,T.J. Taylor,Jr,3-Jun,215,27,North Texas
70,7.357,Vertrail Vaughns,Sr,2-Jun,184,28,North Texas
71,7.241,Kenneth Smith,Jr,3-Jun,180,29,Louisiana Tech
72,7.08,Phillip Jones,Fr,6-Jun,200,25,Texas-San Antonio
73,7,Colin Voss,Jr,7-Jun,240,29,North Texas
74,6.92,Marcus Jackson,Fr,3-Jun,165,25,Rice
75,6.9,Trantell Knight,Sr,1-Jun,190,30,Middle Tennessee State
76,6.821,Seth Gearhart,Jr,7-Jun,215,28,Rice
77,6.808,Maurice Aniefiok,So,5-Jun,205,26,North Texas
78,7,Marshall Guilmette,So,10-Jun,250,5,East Carolina
78,6.759,Michale Kyser,Jr,9-Jun,205,29,Louisiana Tech
