,team,games,opp_points,opp_ppg,ft,fta,ftp,gm,to,topg
147,Appalachian St.,30.0,2152.0,71.7,445.0,697.0,63.8,30.0,362.0,12.1
148,Auburn,29.0,2081.0,71.8,507.0,706.0,71.8,29.0,347.0,12.0
149,Portland St.,29.0,2082.0,71.8,451.0,623.0,72.4,29.0,330.0,11.4
150,Bryant,32.0,2304.0,72.0,470.0,669.0,70.3,32.0,397.0,12.4
151,Portland,31.0,2233.0,72.0,516.0,702.0,73.5,31.0,366.0,11.8
152,George Mason,30.0,2163.0,72.1,478.0,673.0,71.0,30.0,412.0,13.7
153,High Point,30.0,2165.0,72.2,393.0,535.0,73.5,30.0,361.0,12.0
154,Evansville,33.0,2383.0,72.2,596.0,830.0,71.8,33.0,423.0,12.8
155,Charleston So.,31.0,2242.0,72.3,503.0,691.0,72.8,31.0,334.0,10.8
156,TCU,30.0,2171.0,72.4,507.0,690.0,73.5,30.0,353.0,11.8
157,Southeastern La.,29.0,2101.0,72.4,437.0,626.0,69.8,29.0,349.0,12.0
158,Pepperdine,31.0,2247.0,72.5,463.0,661.0,70.0,31.0,379.0,12.2
159,Houston,31.0,2251.0,72.6,450.0,669.0,67.3,31.0,391.0,12.6
160,Stetson,31.0,2252.0,72.6,391.0,590.0,66.3,31.0,383.0,12.4
161,Nicholls St.,27.0,1962.0,72.7,367.0,575.0,63.8,27.0,329.0,12.2
162,Morgan St.,28.0,2036.0,72.7,431.0,711.0,60.6,28.0,357.0,12.8
163,Hawaii,30.0,2183.0,72.8,549.0,761.0,72.1,30.0,355.0,11.8
164,UMBC,30.0,2185.0,72.8,457.0,698.0,65.5,30.0,450.0,15.0
165,Ole Miss,31.0,2259.0,72.9,519.0,745.0,69.7,31.0,351.0,11.3
166,Morehead St.,33.0,2406.0,72.9,680.0,971.0,70.0,33.0,516.0,15.6
167,Murray St.,29.0,2116.0,73.0,519.0,788.0,65.9,29.0,369.0,12.7
168,Monmouth,32.0,2338.0,73.1,479.0,749.0,64.0,32.0,462.0,14.4
169,South Carolina St.,29.0,2119.0,73.1,368.0,562.0,65.5,29.0,440.0,15.2
170,UALR,30.0,2194.0,73.1,512.0,701.0,73.0,30.0,399.0,13.3
171,Hofstra,33.0,2414.0,73.2,531.0,806.0,65.9,33.0,406.0,12.3
172,Army,31.0,2269.0,73.2,406.0,580.0,70.0,31.0,401.0,12.9
173,Furman,30.0,2196.0,73.2,431.0,633.0,68.1,30.0,407.0,13.6
174,Radford,33.0,2426.0,73.5,543.0,780.0,69.6,33.0,365.0,11.1
175,West Virginia,31.0,2279.0,73.5,538.0,742.0,72.5,31.0,299.0,9.6
176,Iowa St.,30.0,2206.0,73.5,479.0,695.0,68.9,30.0,313.0,10.4
177,Boston College,31.0,2281.0,73.6,496.0,670.0,74.0,31.0,350.0,11.3
178,Toledo,31.0,2282.0,73.6,608.0,831.0,73.2,31.0,329.0,10.6
179,Ball St.,29.0,2138.0,73.7,457.0,663.0,68.9,29.0,490.0,16.9
180,Oregon,30.0,2212.0,73.7,591.0,766.0,77.2,30.0,351.0,11.7
181,Chattanooga,32.0,2360.0,73.8,597.0,845.0,70.7,32.0,430.0,13.4
182,N.C. A&T,31.0,2289.0,73.8,653.0,927.0,70.4,31.0,473.0,15.3
183,Central Mich.,30.0,2216.0,73.9,457.0,645.0,70.9,30.0,317.0,10.6
184,Youngstown St.,32.0,2370.0,74.1,540.0,736.0,73.4,32.0,357.0,11.2
185,UNC Greensboro,32.0,2373.0,74.2,484.0,704.0,68.8,32.0,447.0,14.0
186,Florida A&M,30.0,2228.0,74.3,422.0,643.0,65.6,30.0,440.0,14.7
187,North Florida,32.0,2377.0,74.3,513.0,728.0,70.5,32.0,483.0,15.1
188,Belmont,33.0,2452.0,74.3,543.0,742.0,73.2,33.0,425.0,12.9
